time,x,y,z,MF
4.145,0.00,19.28,-33.55,38.69
4.166,0.00,21.37,-34.23,40.35
4.186,-1.39,19.98,-36.27,41.43
4.206,-1.39,19.28,-34.23,39.31
4.226,-0.69,20.67,-32.87,38.84
4.250,-1.39,19.98,-34.91,40.24
4.266,-0.69,19.28,-35.59,40.48
4.286,-0.69,19.28,-36.27,41.08
4.308,-1.39,19.98,-34.23,39.65
4.330,-0.69,20.67,-34.23,39.99
4.347,-0.69,19.28,-34.23,39.29
4.370,-0.69,21.37,-34.91,40.93
4.387,-0.69,19.28,-36.27,41.08
4.408,-1.39,20.67,-34.91,40.59
4.431,-0.69,20.67,-34.91,40.57
4.448,-1.39,20.67,-32.87,38.85
4.468,-2.09,21.37,-34.23,40.41
4.489,-0.69,19.98,-35.59,40.81
4.509,-0.69,19.28,-33.55,38.70
4.528,-2.09,21.37,-34.23,40.41
4.552,-1.39,20.67,-32.19,38.28
4.569,-2.09,19.28,-35.59,40.52
4.588,-0.69,20.67,-35.59,41.16
4.611,-0.69,20.67,-34.91,40.57
4.630,-2.09,20.67,-34.91,40.62
4.649,-2.09,21.37,-33.55,39.83
4.669,-2.09,18.58,-34.23,39.00
4.692,-0.69,19.98,-34.23,39.64
4.710,-2.79,21.37,-34.23,40.45
4.731,-1.39,19.28,-35.59,40.49
4.750,-1.39,20.67,-34.91,40.59
4.769,-1.39,19.28,-33.55,38.72
4.792,-1.39,19.98,-34.91,40.24
4.812,-0.69,19.98,-34.23,39.64
4.830,0.70,19.28,-34.91,39.88
4.852,-0.69,19.98,-34.23,39.64
4.872,0.00,19.98,-34.91,40.22
4.890,-1.39,19.98,-34.23,39.65
4.911,1.40,19.98,-35.59,40.83
4.931,-1.39,17.88,-34.91,39.24
4.951,0.70,20.67,-34.23,39.99
4.971,0.00,19.98,-34.23,39.63
4.993,-1.39,19.98,-34.91,40.24
5.013,-1.39,19.28,-34.23,39.31
5.032,-1.39,17.88,-35.59,39.85
5.052,-0.69,19.28,-33.55,38.70
5.072,-0.69,19.28,-34.91,39.88
5.092,-0.69,19.28,-35.59,40.48
5.114,-2.09,18.58,-34.91,39.60
5.135,-1.39,21.37,-34.91,40.95
5.155,-0.69,19.28,-34.91,39.88
5.173,-0.69,19.98,-34.91,40.22
5.192,0.00,18.58,-34.23,38.94
5.212,-1.39,19.98,-34.23,39.65
5.232,-0.69,19.98,-35.59,40.81
5.253,0.00,18.58,-34.91,39.54
5.274,0.70,18.58,-33.55,38.35
5.294,-2.09,20.67,-33.55,39.46
5.314,0.00,20.67,-34.23,39.99
5.334,-1.39,18.58,-32.87,37.78
5.354,-1.39,20.67,-34.91,40.59
5.374,-0.69,20.67,-35.59,41.16
5.405,-1.39,20.67,-33.55,39.43
5.414,-2.79,19.28,-34.23,39.38
5.434,0.00,19.98,-34.23,39.63
5.455,-1.39,18.58,-36.27,40.77
5.475,-1.39,19.98,-33.55,39.07
5.496,0.00,20.67,-34.91,40.57
5.515,-2.79,19.28,-33.55,38.79
5.535,-0.69,20.67,-34.23,39.99
5.555,-1.39,20.67,-34.23,40.01
5.575,-1.39,20.67,-34.91,40.59
5.598,-1.39,18.58,-34.91,39.57
5.618,-2.09,19.28,-35.59,40.52
5.637,-2.09,20.67,-35.59,41.21
5.656,-0.69,19.28,-36.27,41.08
5.678,-2.09,19.28,-35.59,40.52
5.697,-0.69,19.98,-34.23,39.64
5.716,-2.09,20.67,-34.23,40.04
5.737,-1.39,20.67,-35.59,41.18
5.757,-2.79,19.28,-34.91,39.97
5.776,-1.39,17.88,-33.55,38.04
5.797,-2.09,19.98,-35.59,40.86
5.817,-1.39,19.98,-34.23,39.65
5.841,0.70,18.58,-34.91,39.55
5.858,-0.69,21.37,-34.23,40.36
5.880,-0.69,19.28,-34.23,39.29
5.897,-0.69,19.28,-34.23,39.29
5.919,0.00,19.98,-34.23,39.63
5.938,-1.39,21.37,-34.91,40.95
5.958,-2.09,17.88,-36.27,40.49
5.978,-1.39,19.28,-34.91,39.90
5.998,0.00,19.28,-33.55,38.69
6.018,-0.69,18.58,-34.23,38.95
6.039,-0.69,19.28,-36.27,41.08
6.059,-2.79,21.37,-36.27,42.19
6.079,-2.79,18.58,-35.59,40.24
6.102,-1.39,19.98,-34.91,40.24
6.120,-1.39,20.67,-34.91,40.59
6.140,-0.69,19.98,-34.91,40.22
6.159,-0.69,20.67,-35.59,41.16
6.180,-2.09,20.67,-35.59,41.21
6.200,-0.69,19.98,-34.91,40.22
6.223,-2.09,18.58,-34.91,39.60
6.240,-0.69,19.98,-34.91,40.22
6.259,-0.69,19.98,-34.91,40.22
6.281,-0.69,19.28,-33.55,38.70
6.302,-1.39,19.98,-35.59,40.83
6.320,-2.09,19.98,-33.55,39.10
6.340,-2.79,17.88,-34.91,39.32
6.364,-0.69,18.58,-34.23,38.95
6.380,-0.69,19.98,-35.59,40.81
6.401,-1.39,19.28,-35.59,40.49
6.424,-0.69,18.58,-34.23,38.95
6.444,-2.09,18.58,-34.91,39.60
6.462,-1.39,20.67,-34.91,40.59
6.481,-2.09,19.98,-34.91,40.27
6.502,-0.69,19.98,-35.59,40.81
6.524,-0.69,20.67,-35.59,41.16
6.544,-0.69,19.28,-34.91,39.88
6.563,-1.39,19.28,-34.23,39.31
6.583,-0.69,21.37,-33.55,39.78
6.603,-1.39,20.67,-33.55,39.43
6.631,-2.79,19.98,-34.91,40.31
6.644,-0.69,20.67,-34.91,40.57
6.665,-2.09,20.67,-33.55,39.46
