time,x,y,z,MF
3.803,13.79,-12.18,-58.65,61.46
3.816,13.39,-12.18,-58.76,61.49
3.836,13.64,-12.03,-58.60,61.36
3.856,13.87,-11.98,-58.71,61.51
3.874,13.77,-12.17,-58.88,61.68
3.906,13.59,-12.15,-58.64,61.40
3.914,13.67,-12.21,-58.87,61.66
3.938,13.56,-12.20,-58.40,61.18
3.958,13.72,-12.13,-58.27,61.08
3.978,13.81,-11.93,-58.94,61.70
3.993,13.64,-12.11,-58.64,61.41
4.015,13.68,-12.33,-58.82,61.63
4.039,13.18,-11.94,-58.91,61.53
4.048,13.37,-12.09,-59.04,61.73
4.069,13.52,-11.90,-58.93,61.62
4.086,14.00,-12.31,-58.42,61.32
4.120,13.63,-12.02,-58.74,61.49
4.124,13.80,-12.15,-58.51,61.33
4.144,13.87,-12.10,-58.75,61.57
4.162,13.95,-12.04,-58.99,61.80
4.182,13.64,-12.26,-58.63,61.43
4.205,13.68,-12.18,-58.73,61.52
4.221,13.29,-11.87,-58.78,61.42
4.242,13.55,-12.11,-58.59,61.34
4.262,13.95,-12.27,-58.46,61.34
4.279,13.43,-12.10,-58.82,61.53
4.306,13.97,-12.09,-58.80,61.64
4.318,13.76,-12.01,-58.98,61.74
4.337,13.36,-11.89,-58.50,61.17
4.366,14.01,-12.32,-58.28,61.19
4.379,13.60,-12.19,-58.59,61.37
4.397,13.71,-11.97,-58.29,61.06
4.426,13.67,-12.17,-58.83,61.61
4.432,13.61,-11.97,-58.98,61.70
4.452,13.62,-11.94,-58.89,61.61
4.470,13.50,-12.08,-58.50,61.24
4.505,13.51,-12.27,-58.53,61.31
4.512,13.55,-12.12,-58.54,61.30
4.530,13.87,-11.98,-58.80,61.59
4.550,13.96,-12.05,-58.85,61.67
4.570,13.53,-12.06,-58.78,61.51
4.587,13.62,-12.05,-58.88,61.62
4.615,13.70,-12.04,-58.51,61.29
4.645,13.57,-12.17,-58.91,61.67
4.647,13.75,-12.12,-58.42,61.23
4.663,13.97,-12.05,-58.80,61.63
4.681,13.84,-12.11,-59.16,61.96
4.701,13.62,-12.17,-58.96,61.72
4.721,13.20,-12.00,-58.67,61.32
4.743,13.51,-12.12,-58.40,61.16
4.765,13.66,-12.20,-58.41,61.21
4.781,13.69,-12.07,-58.65,61.42
4.797,13.60,-12.11,-58.59,61.36
4.825,13.86,-11.97,-58.94,61.72
4.836,13.42,-12.13,-59.00,61.71
4.856,13.68,-12.06,-58.69,61.46
4.876,13.75,-12.04,-58.47,61.26
4.898,13.81,-12.43,-58.40,61.28
4.915,13.65,-12.08,-58.51,61.28
4.962,13.90,-12.16,-58.42,61.27
4.964,13.78,-12.26,-58.69,61.52
4.972,13.72,-12.01,-58.89,61.64
4.989,13.63,-12.10,-58.78,61.54
5.010,13.62,-12.09,-58.87,61.63
5.029,13.63,-12.10,-58.78,61.54
5.049,14.08,-12.14,-58.62,61.50
5.066,13.77,-12.25,-58.83,61.65
5.086,13.90,-12.08,-59.03,61.84
5.113,13.69,-12.38,-58.67,61.51
5.125,13.45,-12.11,-58.63,61.36
5.146,13.74,-12.22,-58.64,61.46
5.165,13.91,-12.36,-58.32,61.21
5.185,13.66,-12.20,-58.45,61.25
5.207,13.60,-12.15,-58.59,61.36
5.232,13.67,-11.94,-58.84,61.58
5.241,13.44,-11.91,-58.74,61.42
5.259,13.49,-12.03,-58.64,61.36
5.282,13.70,-12.15,-58.55,61.35
5.300,13.89,-11.96,-58.44,61.24
5.329,13.58,-11.98,-58.79,61.51
5.337,13.64,-12.10,-58.69,61.46
5.355,13.51,-12.01,-59.01,61.72
5.375,13.49,-11.99,-58.69,61.40
5.395,13.49,-12.03,-58.64,61.36
5.415,13.44,-12.11,-58.68,61.40
