time,x,y,z,MF
6.336,-9.86,-15.54,-72.46,74.77
6.355,-9.16,-17.64,-73.14,75.80
6.375,-8.46,-17.64,-73.14,75.72
6.395,-7.77,-16.24,-72.46,74.67
6.414,-9.16,-16.94,-73.82,76.29
6.435,-7.77,-16.94,-73.82,76.14
6.457,-9.16,-15.54,-73.82,76.00
6.476,-8.46,-16.24,-72.46,74.74
6.498,-8.46,-17.64,-72.46,75.06
6.516,-7.77,-15.54,-71.78,73.86
6.535,-9.86,-17.64,-73.14,75.88
6.556,-8.46,-16.24,-73.14,75.40
6.578,-9.86,-15.54,-73.14,75.42
6.596,-8.46,-16.24,-72.46,74.74
6.618,-9.16,-16.94,-72.46,74.98
6.637,-7.77,-16.24,-73.14,75.33
6.656,-7.77,-16.94,-73.14,75.48
6.676,-8.46,-17.64,-72.46,75.06
6.700,-9.16,-18.34,-73.82,76.62
6.716,-8.46,-16.24,-72.46,74.74
6.737,-7.07,-16.24,-71.78,73.94
6.758,-8.46,-16.24,-72.46,74.74
6.778,-8.46,-18.34,-72.46,75.23
6.801,-7.77,-15.54,-72.46,74.52
6.817,-8.46,-16.24,-72.46,74.74
6.848,-8.46,-16.24,-73.14,75.40
6.861,-9.86,-19.04,-72.46,75.57
6.878,-9.16,-17.64,-73.14,75.80
6.898,-10.56,-16.94,-73.14,75.82
6.919,-7.77,-16.24,-73.14,75.33
6.939,-7.77,-14.85,-73.82,75.70
6.969,-8.46,-14.85,-73.14,75.11
6.980,-9.16,-16.94,-73.14,75.64
7.000,-8.46,-18.34,-71.78,74.57
7.018,-8.46,-14.85,-72.46,74.45
7.042,-7.77,-16.24,-71.78,74.01
7.060,-8.46,-16.24,-73.14,75.40
7.079,-9.86,-16.94,-72.46,75.07
7.103,-9.16,-16.94,-71.10,73.67
7.120,-7.77,-15.54,-73.14,75.18
7.139,-8.46,-15.54,-75.18,77.24
7.160,-9.16,-14.85,-74.50,76.52
7.181,-9.86,-16.24,-72.46,74.91
7.201,-9.16,-16.24,-73.82,76.14
7.220,-9.16,-14.85,-72.46,74.53
7.241,-7.77,-14.85,-73.14,75.04
7.265,-9.86,-16.24,-72.46,74.91
7.281,-9.16,-16.24,-73.82,76.14
7.303,-8.46,-16.24,-73.82,76.06
7.322,-8.46,-16.94,-73.14,75.56
7.341,-7.77,-15.54,-73.14,75.18
7.361,-8.46,-17.64,-73.14,75.72
7.383,-9.16,-16.24,-72.46,74.82
7.403,-9.16,-14.85,-72.46,74.53
7.422,-8.46,-15.54,-73.82,75.92
7.443,-9.86,-16.24,-72.46,74.91
7.462,-9.16,-14.85,-71.78,73.87
7.482,-7.77,-15.54,-71.78,73.86
7.502,-9.16,-15.54,-73.14,75.34
7.541,-7.77,-14.85,-73.82,75.70
7.544,-10.56,-14.85,-71.78,74.06
7.564,-9.16,-14.85,-71.78,73.87
7.582,-9.86,-16.94,-74.50,77.04
7.603,-8.46,-15.54,-72.46,74.59
7.624,-9.86,-16.24,-72.46,74.91
7.643,-7.07,-16.24,-72.46,74.60
7.668,-9.86,-14.85,-73.14,75.28
7.685,-9.16,-16.94,-73.14,75.64
7.704,-9.86,-15.54,-73.82,76.08
7.724,-7.77,-16.94,-70.43,72.85
7.745,-8.46,-16.94,-72.46,74.90
7.766,-8.46,-14.85,-72.46,74.45
7.784,-8.46,-16.24,-73.82,76.06
7.805,-7.77,-17.64,-73.82,76.30
7.825,-8.46,-16.24,-72.46,74.74
7.846,-8.46,-15.54,-73.82,75.92
7.868,-9.16,-16.94,-73.14,75.64
7.887,-8.46,-17.64,-74.50,77.03
7.905,-7.77,-16.94,-72.46,74.82
7.931,-8.46,-14.85,-71.78,73.79
7.945,-9.16,-15.54,-72.46,74.68
7.966,-9.16,-16.24,-73.14,75.48
7.987,-8.46,-16.24,-73.82,76.06
8.008,-7.07,-16.24,-72.46,74.60
8.026,-8.46,-16.94,-71.78,74.24
8.048,-9.16,-16.24,-73.82,76.14
8.067,-7.07,-16.24,-73.14,75.26
8.086,-8.46,-16.24,-73.14,75.40
8.106,-8.46,-16.94,-72.46,74.90
8.127,-9.16,-16.94,-71.78,74.32
8.147,-8.46,-14.85,-73.14,75.11
8.167,-8.46,-14.15,-73.14,74.98
8.187,-7.77,-14.85,-73.14,75.04
8.209,-8.46,-15.54,-72.46,74.59
8.229,-9.86,-16.94,-73.14,75.73
8.249,-9.16,-14.85,-71.10,73.21
8.269,-9.16,-16.24,-72.46,74.82
8.287,-9.86,-14.85,-71.78,73.96
8.309,-9.86,-15.54,-71.78,74.11
8.346,-7.77,-15.54,-71.78,73.86
8.349,-9.86,-14.85,-71.78,73.96
8.369,-9.86,-16.24,-71.78,74.26
8.389,-11.96,-15.54,-73.14,75.73
8.409,-9.86,-15.54,-73.14,75.42
8.428,-9.86,-15.54,-73.14,75.42
8.449,-9.86,-15.54,-72.46,74.77
8.482,-9.16,-16.94,-72.46,74.98
8.492,-12.65,-16.24,-73.14,75.99
8.509,-13.35,-15.54,-72.46,75.31
8.530,-11.96,-16.94,-75.18,77.99
8.550,-11.96,-18.34,-74.50,77.65
8.571,-11.26,-19.04,-75.18,78.37
8.603,-9.86,-20.43,-76.54,79.83
8.611,-8.46,-22.53,-77.22,80.88
8.630,-9.16,-23.23,-75.86,79.86
8.655,-6.37,-22.53,-75.18,78.74
8.671,-5.67,-21.83,-73.82,77.19
8.691,-7.77,-21.13,-73.14,76.53
8.721,-8.46,-19.73,-73.14,76.23
8.731,-7.77,-22.53,-70.43,74.35
8.753,-9.16,-19.73,-70.43,73.71
8.773,-9.16,-21.83,-69.74,73.65
8.793,-9.86,-21.83,-71.10,75.03
8.812,-11.26,-21.83,-71.78,75.87
8.836,-11.26,-22.53,-71.78,76.07
8.852,-9.86,-21.83,-72.46,76.32
8.872,-11.26,-23.23,-73.82,78.21
8.895,-10.56,-22.53,-73.82,77.90
8.915,-9.86,-23.92,-73.14,77.59
8.933,-9.86,-22.53,-73.82,77.81
8.952,-9.86,-22.53,-71.78,75.88
8.972,-10.56,-23.23,-70.43,74.90
8.995,-11.26,-22.53,-72.46,76.72
9.014,-11.26,-22.53,-71.10,75.43
9.034,-11.26,-21.83,-73.14,77.16
9.054,-11.96,-24.62,-74.50,79.37
9.073,-11.96,-24.62,-73.82,78.73
9.093,-11.26,-24.62,-73.14,77.99
9.115,-9.86,-21.83,-73.82,77.61
9.134,-11.26,-23.23,-71.10,75.64
9.154,-11.26,-23.23,-71.78,76.28
9.175,-12.65,-23.23,-73.14,77.78
9.194,-11.96,-22.53,-72.46,76.82
9.227,-13.35,-23.23,-73.82,78.53
9.236,-12.65,-21.13,-73.82,77.82
9.255,-13.35,-23.92,-75.86,80.66
9.275,-14.75,-23.23,-76.54,81.34
9.296,-11.26,-25.32,-79.26,83.97
9.315,-11.96,-26.72,-79.94,85.13
9.335,-9.86,-26.02,-78.58,83.36
9.355,-9.16,-26.72,-80.62,85.42
9.384,-8.46,-26.72,-78.58,83.43
9.395,-7.07,-28.11,-79.26,84.40
9.416,-5.67,-27.42,-78.58,83.42
9.436,-3.58,-28.11,-77.90,82.90
9.456,-2.88,-24.62,-76.54,80.46
9.477,-4.97,-24.62,-75.86,79.91
9.497,-3.58,-21.83,-76.54,79.67
9.524,-2.18,-21.83,-73.14,76.36
9.536,-3.58,-22.53,-75.18,78.57
9.556,-4.97,-20.43,-73.14,76.11
9.580,-4.27,-19.73,-73.82,76.54
9.597,-6.37,-18.34,-71.78,74.36
9.617,-4.97,-18.34,-75.18,77.55
9.638,-3.58,-19.04,-71.78,74.35
9.663,-5.67,-18.34,-72.46,74.96
9.677,-5.67,-16.94,-73.14,75.29
9.698,-5.67,-17.64,-72.46,74.79
9.719,-4.97,-16.24,-73.82,75.75
9.739,-6.37,-17.64,-74.50,76.83
9.761,-8.46,-17.64,-71.78,74.40
9.779,-5.67,-16.94,-73.14,75.29
9.803,-5.67,-17.64,-71.78,74.14
9.819,-8.46,-16.94,-72.46,74.90
9.838,-7.77,-16.94,-72.46,74.82
9.859,-7.77,-16.24,-74.50,76.65
9.879,-7.77,-16.94,-71.78,74.16
9.899,-7.77,-16.94,-71.78,74.16
9.919,-7.77,-17.64,-71.10,73.67
9.939,-6.37,-16.24,-73.82,75.86
9.960,-8.46,-17.64,-72.46,75.06
9.980,-7.77,-16.24,-71.78,74.01
9.999,-7.77,-14.85,-73.14,75.04
10.020,-7.77,-16.24,-73.14,75.33
10.042,-7.07,-15.54,-71.78,73.79
10.061,-8.46,-17.64,-73.14,75.72
10.082,-7.77,-15.54,-71.78,73.86
10.100,-8.46,-16.94,-72.46,74.90
10.121,-8.46,-16.94,-74.50,76.87
10.140,-8.46,-15.54,-71.78,73.93
10.161,-7.77,-15.54,-72.46,74.52
10.182,-9.86,-15.54,-73.14,75.42
10.207,-8.46,-16.94,-73.82,76.21
10.226,-8.46,-16.24,-72.46,74.74
10.241,-7.07,-15.54,-71.78,73.79
10.262,-9.16,-16.24,-72.46,74.82
10.283,-9.86,-14.85,-73.82,75.94
10.303,-8.46,-16.24,-73.14,75.40
10.323,-9.86,-14.85,-73.82,75.94
10.345,-8.46,-16.94,-73.82,76.21
10.363,-7.77,-16.24,-73.82,75.99
10.386,-8.46,-16.24,-73.82,76.06
10.405,-8.46,-15.54,-73.14,75.26
10.425,-9.16,-17.64,-72.46,75.14
10.444,-9.16,-16.94,-73.82,76.29
10.464,-8.46,-16.24,-72.46,74.74
10.484,-8.46,-15.54,-71.10,73.27
10.505,-10.56,-16.24,-72.46,75.01
10.525,-9.86,-16.24,-72.46,74.91
10.544,-8.46,-16.24,-72.46,74.74
10.564,-7.77,-16.94,-72.46,74.82
10.583,-8.46,-16.94,-72.46,74.90
10.603,-9.86,-14.85,-73.14,75.28
10.626,-9.86,-16.94,-73.82,76.38
10.644,-7.77,-16.24,-73.82,75.99
10.665,-9.16,-16.24,-73.82,76.14
10.686,-7.77,-15.54,-73.82,75.84
10.704,-9.16,-17.64,-73.14,75.80
