t,x,y,z,mf
67706,-1.9043,24.0723,-25.8301,35.36
67717,-1.9043,24.5117,-26.2695,35.98
67728,-0.7812,24.5117,-26.2695,35.94
67738,-1.1719,24.0723,-25.5371,35.11
67749,-1.4160,23.8281,-26.1719,35.42
67760,-1.3184,24.2188,-26.1230,35.65
67771,-1.6602,24.0234,-26.6602,35.93
67782,-1.4648,24.2676,-25.9277,35.54
67793,-1.0742,24.1211,-25.6348,35.22
67804,-1.0742,24.1211,-26.2207,35.64
67815,-1.3184,24.3652,-26.2207,35.82
67825,-1.0742,23.8770,-26.3184,35.55
67836,-1.2207,24.1699,-25.4395,35.11
67847,-0.6348,24.4141,-25.5371,35.34
67858,-0.9766,24.1699,-25.4883,35.14
67869,-0.8789,24.2676,-25.2441,35.03
67880,-1.1719,24.4141,-25.9277,35.63
67891,-1.1719,24.4141,-26.0254,35.70
67902,-1.1230,24.0723,-26.0254,35.47
67912,-0.9277,24.6582,-26.4648,36.18
67923,-1.3184,24.7559,-26.2695,36.12
67934,-1.1230,24.6582,-26.3184,36.08
67945,-1.3184,24.5605,-26.4648,36.13
67956,-1.0742,24.5117,-26.3184,35.98
67967,-1.0254,24.0234,-26.3672,35.68
67978,-1.0254,24.0234,-25.7813,35.25
67989,-1.0742,24.4629,-25.7813,35.56
67999,-1.2695,24.8047,-25.6348,35.69
68010,-1.2695,24.2676,-25.6836,35.36
68021,-1.2207,24.4629,-25.7813,35.56
68032,-1.0254,24.5117,-25.6836,35.52
68043,-1.2695,25.0977,-26.1719,36.28
68054,-0.9766,24.6582,-25.9277,35.79
68065,-0.9766,24.6582,-25.9277,35.79
68075,-0.9766,24.8047,-26.4648,36.29
68086,-0.8789,24.4629,-26.4648,36.05
68097,-1.0254,24.8047,-26.1230,36.04
68108,-1.0254,24.5605,-25.4395,35.38
68119,-0.7812,24.3164,-25.9277,35.55
68130,-1.0254,24.1211,-26.0254,35.50
68141,-0.5859,24.1211,-25.9277,35.42
68152,-0.5859,24.1211,-25.9277,35.42
68162,-0.5371,24.5605,-25.6348,35.51
68173,-0.5371,23.9258,-25.8301,35.21
