time,x,y,z
5425,100,-56,-826
5435,103,-59,-823
5445,95,-53,-823
5455,102,-58,-820
5465,98,-66,-824
5475,95,-61,-821
5484,99,-55,-823
5494,101,-57,-823
5504,106,-58,-822
5514,97,-65,-819
5524,96,-60,-820
5534,101,-59,-829
5544,98,-58,-830
5553,96,-60,-824
5563,102,-54,-822
5573,101,-59,-823
5583,97,-55,-829
5593,101,-61,-815
5603,101,-55,-823
5613,103,-59,-829
5622,103,-57,-823
5632,99,-63,-823
5642,96,-58,-828
5652,92,-58,-820
5662,91,-61,-823
5672,101,-59,-827
5682,103,-59,-823
5692,90,-62,-826
5701,109,-55,-825
5711,96,-56,-826
5721,91,-65,-821
5731,98,-60,-820
5741,95,-57,-819
5751,89,-55,-827
5760,97,-57,-821
5770,103,-63,-823
5780,100,-54,-822
5790,103,-61,-827
5800,96,-60,-824
5810,95,-63,-815
5820,106,-60,-818
5829,97,-55,-823
5839,107,-61,-819
5849,101,-55,-819
5859,106,-58,-822
5869,100,-58,-828
5879,93,-61,-823
5889,92,-58,-824
5898,102,-62,-816
5908,98,-54,-822
5918,98,-70,-814
5928,100,-60,-818
5938,99,-61,-819
5948,97,-61,-827
5958,104,-66,-826
5967,103,-61,-817
5977,101,-57,-821
5987,102,-68,-820
5997,102,-64,-828
6007,104,-54,-822
6017,92,-62,-826
6027,93,-61,-819
6036,103,-57,-819
6046,104,-62,-826
6056,96,-60,-826
6066,99,-59,-825
6076,101,-61,-825
6086,99,-59,-819
6096,104,-60,-828
6105,103,-51,-827
6115,94,-64,-818
6125,94,-54,-818
6135,98,-56,-816
6145,99,-57,-827
6155,105,-65,-819
6165,101,-61,-823
6174,107,-65,-819
6184,107,-61,-823
6194,102,-56,-826
6204,102,-56,-826
6214,100,-58,-826
6224,97,-61,-825
6234,102,-58,-824
6243,91,-55,-829
6253,100,-56,-826
6263,96,-60,-822
6273,99,-57,-831
6283,102,-54,-828
6293,97,-65,-825
6303,94,-60,-818
6312,103,-63,-817
6322,96,-56,-814
6332,96,-64,-824
6342,99,-63,-821
6352,93,-65,-817
6362,102,-66,-824
6371,102,-60,-830
6381,103,-61,-825
6391,102,-60,-820
6401,101,-61,-823
6411,99,-63,-821
6421,98,-62,-822
6431,100,-66,-816
6440,94,-64,-820
6450,93,-53,-821
6460,92,-62,-822
6470,100,-60,-818
6480,106,-66,-818
